Created on 11-22-2020,
Unix Timestamp,Volume USD
1605830400,4514250.84
1605744000,22202630.74
1605657600,37652084.6
1605571200,27905772.43
1605484800,17605986.19
1605398400,7819590.94
1605312000,10386010.74
1605225600,11927993.46
1605139200,19108924.81
1605052800,20225712.4
1604966400,17003259.51
1604880000,19570413.72
1604793600,6798251.57
1604707200,18351963.25
1604620800,16608680.18
1604534400,17585241.37
1604448000,23074149.69
1604361600,15362645.48
1604275200,9805014.72
1604188800,4454793.94
1604102400,7010348.72
1604016000,18396976.77
1603929600,14856902.67
1603843200,21568394.58
1603756800,17988829.7
1603670400,15571137.57
1603584000,6476895.22
1603497600,4368328.64
1603411200,9768171.17
1603324800,21655240.2
1603238400,22189286.58
1603152000,16038501.57
1603065600,11615460.42
1602979200,3929419.49
1602892800,4587740.04
1602806400,12752194.98
1602720000,13869429.65
1602633600,8040744.18
1602547200,20250325.89
1602460800,14147809.56
1602374400,6137860.36
1602288000,8693328.8
1602201600,9429915.24
1602115200,11445380.8
1602028800,7875205.17
1601942400,11536032.87
1601856000,5334466.18
1601769600,3087666.69
1601683200,2241850.29
1601596800,8150908.51
1601510400,9330047.39
1601424000,9026746.54
1601337600,9066346.01
1601251200,7997884.82
1601164800,3753335.92
1601078400,4418400.7
1600992000,9318136.11
1600905600,10055394.62
1600819200,5571862.69
1600732800,5494450.08
1600646400,10134834.42
1600560000,6885641.76
1600473600,4016550.25
1600387200,5437188.9
1600300800,8752737.39
1600214400,8609373.61
1600128000,10231727.49
1600041600,7710151.83
1599955200,3902016
1599868800,5446364.79
1599782400,7723310.36
1599696000,7708686.39
1599609600,7519268.47
1599523200,7266936.01
1599436800,6438756.46
1599350400,4770165.21
1599264000,12526975.23
1599177600,16396884.89
1599091200,21696242.54
1599004800,13699058.61
1598918400,10404448.46
1598832000,7412795.91
1598745600,3615721.76
1598659200,4397918.65
1598572800,6876866.63
1598486400,11523987.32
1598400000,8387296.97
1598313600,14105883.97
1598227200,5456636.09
1598140800,5458518.55
1598054400,4060653.98
1597968000,11267199.33
1597881600,7719429.09
1597795200,13392188.03
1597708800,14674130.07
1597622400,17053361.39
1597536000,11581742.59
1597449600,15207034.48
1597363200,8264644.01
1597276800,10873174.81
1597190400,8097292.12
1597104000,15610143.11
1597017600,16318074.76
1596931200,4344949.85
1596844800,5692755.41
1596758400,13575163.44
1596672000,6233623.48
1596585600,8636059.32
1596499200,8063872.9
1596412800,8722099.82
1596326400,10872225.22
1596240000,9026377.37
1596153600,12146590.74
1596067200,12453314.95
1595980800,17944535.44
1595894400,11896248.93
1595808000,25839872.42
1595721600,7376195.33
1595635200,4653233.85
1595548800,5869546.66
1595462400,9099737.03
1595376000,8494842.69
1595289600,6718683.46
1595203200,4027652.24
1595116800,3401013.94
1595030400,2418232.3
1594944000,3786302.65
1594857600,5937380.43
1594771200,5081788.35
1594684800,5434800.09
1594598400,5363451.99
1594512000,2904677.72
1594425600,2469075.89
1594339200,5182491
1594252800,6080826.23
1594166400,5063882.92
1594080000,4593449.85
1593993600,6674785.64
1593907200,2867808.92
1593820800,3060009.35
1593734400,3774755.18
1593648000,6582762.02
1593561600,6448684.03
1593475200,4629915.81
1593388800,3357436.81
1593302400,2158864.62
1593216000,4207217.87
1593129600,6233064.25
1593043200,7966391.6
1592956800,8399301.25
1592870400,6671695.97
1592784000,9751299.1
1592697600,3890107.07
1592611200,4513657.32
1592524800,6484736.1
1592438400,3610725.5
1592352000,5833625.33
1592265600,10128690.34
1592179200,7612659.95
1592092800,3416010.22
1592006400,2458688.6
1591920000,7807232.25
1591833600,22841873.22
1591747200,13239048.06
1591660800,14176728.12
1591574400,13844672.75
1591488000,20113191.92
1591401600,12404476.93
1591315200,12182828.72
1591228800,18534886.36
1591142400,14268492.25
1591056000,30810205.74
1590969600,21936209.01
1590883200,12388322.15
1590796800,19541071.86
1590710400,17466353.14
1590624000,21062183.8
1590537600,11032550.41
1590451200,8471411.42
1590364800,6120823.47
1590278400,9635728.51
1590192000,5069034.16
1590105600,8580283.9
1590019200,17588401.99
1589932800,18460054
1589846400,26276498.21
1589760000,17988480.17
1589673600,13899442.31
1589587200,12026828.97
1589500800,29299750.86
1589414400,13328273.05
1589328000,7209693.08
1589241600,13957965.69
1589155200,17892747.06
1589068800,25452225.81
1588982400,11685024.7
1588896000,18472545.26
1588809600,26239854.77
1588723200,16479284.05
1588636800,14147808.43
1588550400,10817630.6
1588464000,17486488.58
1588377600,10497933.81
1588291200,21467999.39
1588204800,24625455.91
1588118400,30944526.63
1588032000,6049683.92
1587945600,7701129.53
1587859200,5830707.37
1587772800,8024960.08
1587686400,10030146.37
1587600000,14362642.24
1587513600,9131713.59
1587427200,7859680.37
1587340800,9228098.75
1587254400,4306069.16
1587168000,8019416.83
1587081600,8459309.25
1586995200,17410740.9
1586908800,6741852.87
1586822400,7409139.16
1586736000,8812901.6
1586649600,5955255.79
1586563200,3351402.8
1586476800,12598405.65
1586390400,8279311.52
1586304000,7087900.07
1586217600,8395999.41
1586131200,14308575.08
1586044800,4168166.25
1585958400,6027742.55
1585872000,6864284.39
1585785600,6839036.75
1585699200,4137661.08
1585612800,3727174.31
1585526400,4374525.05
1585440000,3033659.52
1585353600,4822213.47
1585267200,3793735.23
1585180800,4162306.19
1585094400,8370263.93
1585008000,8968081.94
1584921600,13690323.77
1584835200,5803590.91
1584748800,4893813.21
1584662400,29281895.85
1584576000,35329479.69
1584489600,17095080.55
1584403200,34821345.28
1584316800,44953678.47
1584230400,9687676.95
1584144000,14529807.39
1584057600,18081562.72
1583971200,27811912.67
1583884800,5169693.71
1583798400,8029682.2
1583712000,15313525.6
1583625600,10832404.7
1583539200,5887213.26
1583452800,9412991.67
1583366400,10913158.74
1583280000,4691874.16
1583193600,7646830.07
1583107200,4620725.21
1583020800,3471621.4
1582934400,3408439.02
1582848000,5722229.97
1582761600,8031625.18
1582675200,11329442.84
1582588800,5646799.34
1582502400,6664075.64
1582416000,3544843.24
1582329600,2831034.08
1582243200,4102290.06
1582156800,5301776.95
1582070400,7157938.31
1581984000,3383714.7
1581897600,3670477.55
1581811200,1922187.54
1581724800,2789714.48
1581638400,2281987.65
1581552000,3070107.4
1581465600,1950828.34
1581379200,2878387.61
1581292800,2663104.6
1581206400,1374591.88
1581120000,1050805.32
1581033600,2203678.22
1580947200,3908449.55
1580860800,4483842.92
1580774400,3681040.12
1580688000,8500070.36
1580601600,3158330.54
1580515200,3652360.66
1580428800,7483837.22
1580342400,11007498.14
1580256000,10181479.16
1580169600,14840520.45
1580083200,6609766.21
1579996800,5019683.53
1579910400,2307962.02
1579824000,4615298.57
1579737600,5063381.1
1579651200,2138480.6
1579564800,3940188.64
1579478400,3333436.02
1579392000,9648878.05
1579305600,2723291.49
1579219200,7194504.5
1579132800,9638610
1579046400,6907520.38
1578960000,8958680.1
1578873600,2828082.47
1578787200,3524665.65
1578700800,5391819.21
1578614400,5784173.85
1578528000,3339944.04
1578441600,15243233.22
1578355200,8683532.42
1578268800,7151740.71
1578182400,4815941.61
1578096000,2466557.91
1578009600,8542327.8
1577923200,2569024.78
1577836800,875839.92
1577750400,1077029.82
1577664000,1889081.06
1577577600,1795871.93
1577491200,1634355.21
1577404800,2317030.14
1577318400,3561328.34
1577232000,1874374.39
1577145600,4979866.08
1577059200,4778929.59
1576972800,2258854.78
1576886400,627775.79
1576800000,1206327.92
1576713600,4650731.24
1576627200,8289986.83
1576540800,6086098.06
1576454400,4193171.47
1576368000,3397855.04
1576281600,2219940.81
1576195200,3556835.97
1576108800,8138980.8
1576022400,3686697.75
1575936000,7433980.84
1575849600,10018820.34
1575763200,4010615.33
1575676800,4546843.73
1575590400,5974363.93
1575504000,7984010.24
1575417600,10204644.13
1575331200,2108430.47
1575244800,3894577.25
1575158400,5616701.14
1575072000,4470608.78
1574985600,7740251.42
1574899200,6201655.55
1574812800,5950451.75
1574726400,4863413.75
1574640000,7993651.4
1574553600,2367580.94
1574467200,1574017.26
1574380800,5586010.17
1574294400,3411443.33
1574208000,2362899.65
1574121600,5453494.91
1574035200,4055590.67
1573948800,2668790.24
1573862400,1938837.26
1573776000,9314128.69
1573689600,3275715.78
1573603200,2983417.8
1573516800,4158941.48
1573430400,4113611.53
1573344000,3636369.33
1573257600,1462115.43
1573171200,6205505.25
1573084800,3434427.04
1572998400,4024380.86
1572912000,5894493.2
1572825600,3496541.75
1572739200,2162821.46
1572652800,3670607.22
1572566400,9857876.28
1572480000,8717919.06
1572393600,699961.56
1572307200,0
1572220800,0
1572134400,0
1572048000,0
1571961600,0
1571875200,0
1571788800,0
1571702400,0
1571616000,0
1571529600,0
1571443200,0
1571356800,0
1571270400,0
1571184000,0
1571097600,0
1571011200,0
1570924800,0
1570838400,0
1570752000,0
1570665600,0
1570579200,0
1570492800,0
1570406400,0
1570320000,0
1570233600,0
1570147200,0
1570060800,0
1569974400,0
1569888000,0
1569801600,0
1569715200,0
1569628800,0
1569542400,0
1569456000,0
1569369600,3899334.25
1569283200,33489905.33
1569196800,14668524.92
1569110400,10140398.01
1569024000,5200901.13
1568937600,3841969.86
1568851200,11418994.89
1568764800,3178409.22
1568678400,6786249.37
1568592000,1567186.53
1568505600,476627.26
1568419200,1125021.76
1568332800,2475891.09
1568246400,1169106.98
1568160000,6390018.04
1568073600,4628773.35
1567987200,7960346.52
1567900800,3522383.09
1567814400,3420221.63
1567728000,16797297.55
1567641600,9311507.59
1567555200,9734081.01
1567468800,1699038.27
1567382400,4115071.18
1567296000,2160996.03
1567209600,2555411.95
1567123200,6396050.13
1567036800,10219293.65
1566950400,9652447.44
1566864000,4321764.53
1566777600,2102247.58
1566691200,7290162.29
1566604800,1698342.66
1566518400,8149524.42
1566432000,14115540.02
1566345600,13704187.72
1566259200,5549223.42
1566172800,4686947.85
1566086400,944221.8
1566000000,755577.2
1565913600,14128882.79
1565827200,11588249.12
1565740800,9148181.09
1565654400,3556008.69
1565568000,3117052.75
1565481600,3180437.1
1565395200,4114814.96
1565308800,5921076.48
1565222400,6959121.57
1565136000,8564163.61
1565049600,3651214.63
1564963200,2295850.26
1564876800,3649000.07
1564790400,3081938.13
1564704000,5059039.26
1564617600,2830528.35
1564531200,2208470.46
1564444800,1398728.7
1564358400,3284522.59
1564272000,2075252.59
1564185600,4098371.1
1564099200,2808407.07
1564012800,2398539.16
1563926400,1907115.41
1563840000,3378114.52
1563753600,3988769.57
1563667200,2803705.98
1563580800,8652602.71
1563494400,13159149.8
1563408000,9555322.58
1563321600,5496143.8
1563235200,9868017.66
1563148800,8918389.17
1563062400,10281726.3
1562976000,4564914.49
1562889600,16992620.18
1562803200,15477829.73
1562716800,11449798.96
1562630400,4893339.46
1562544000,2454675.5
1562457600,7573921.15
